Vehicle_Type,Tested_Transmission_Type,Transmission_Lockup_,Police___Emergency_Vehicle_,newtransmission,Test_Veh_Displacement__L_,Rated_Horsepower,__of_Gears,Equivalent_Test_Weight__lbs__,Axle_Ratio,N_V_Ratio,Three_cat,THC_bin,CO_bin,CO2_cat,NOx_cat,MPG,Rownum
Car,Manual,N,N,Manual,4,414,7,4000,3.15,25.2,Low,Low,Low,Medium,Medium,28.9,7643
Car,Manual,N,N,Manual,4,414,7,4000,3.15,25.2,Low,High,Low,High,High,18.1,7644
Car,Manual,N,N,Manual,4,414,7,4000,3.15,25.2,Low,High,Low,High,High,16,7645
Car,Manual,N,N,Manual,4,414,7,4000,3.15,25.2,Low,Low,Low,Medium,Medium,27.1,7646
Car,Manual,N,N,Manual,4,414,6,4000,3.85,27.4,Low,High,Low,High,High,17.2,7647
Car,Manual,N,N,Manual,4,414,6,4000,3.85,27.4,Low,Low,Low,Medium,Low,28.4,7648
Car,Manual,N,N,Manual,4,414,7,4500,3.15,25.2,Low,High,Low,High,High,17.9,7649
Car,Manual,N,N,Manual,4,414,7,4500,3.15,25.2,Low,Low,Low,Medium,Medium,28.3,7650
Car,Manual,N,N,Manual,4,414,7,4500,3.15,25.2,Low,High,Low,High,High,15.6,7651
Car,Manual,N,N,Manual,4,414,7,4500,3.15,25.2,Low,Low,Low,Medium,Low,26.5,7652
Car,Manual,N,N,Manual,4,414,6,4500,3.85,27.4,Low,High,High,Medium,Low,27.3,7653
Car,Manual,N,N,Manual,4,414,6,4500,3.85,27.4,Low,High,Low,High,High,16.6,7654
Car,Semi-Automatic,N,N,Semi-Automatic,4.4,553,7,4750,3.15,27,Low,High,High,High,High,19.8,7655
Car,Semi-Automatic,N,N,Semi-Automatic,4.4,553,7,4750,3.15,27,Low,Low,High,Medium,Medium,32.4,7656
Car,Semi-Automatic,N,N,Semi-Automatic,4.4,553,7,4750,3.15,27,Low,High,High,High,High,14.5,7657
Car,Semi-Automatic,N,N,Semi-Automatic,4.4,553,7,4750,3.15,27,Low,High,High,Medium,Medium,24.9,7658
Car,Automatic,Y,N,Automatic,2,241,8,4000,3.15,28.1,Low,High,High,Medium,High,24.4,7659
Car,Automatic,Y,N,Automatic,2,241,8,4000,3.15,28.1,Low,Low,High,High,High,20.8,7660
Bot,Automatic,Y,N,Automatic,3,240,8,4500,3.73,31.1,Medium,Low,Low,Medium,Low,35.1,7661
Bot,Automatic,Y,N,Automatic,3,240,8,4500,3.73,31.1,Low,Low,Low,Medium,Medium,24.1,7662
Bot,Automatic,Y,N,Automatic,3,240,8,4500,3.73,31.1,Medium,Low,Low,Medium,Medium,35.4,7663
Bot,Automatic,Y,N,Automatic,3,240,8,4500,3.73,31.1,Low,High,Low,Medium,Medium,23.7,7664
Bot,Automatic,Y,N,Automatic,3,240,8,4500,3.73,31.1,Low,Low,Low,Medium,Medium,23.5,7665
Bot,Automatic,Y,N,Automatic,3,240,8,4500,3.73,31.1,Medium,Low,Low,Low,Medium,36,7666
Bot,Semi-Automatic,Y,N,Semi-Automatic,3,300,8,4500,3.38,28.2,Medium,High,Low,Medium,Low,35.5,7667
Bot,Semi-Automatic,Y,N,Semi-Automatic,3,300,8,4500,3.38,28.2,Low,Low,High,Medium,Medium,23.4,7668
Bot,Semi-Automatic,Y,N,Semi-Automatic,3,300,8,4500,3.38,28.2,Low,Low,Low,Medium,Medium,23.8,7669
Bot,Semi-Automatic,Y,N,Semi-Automatic,3,300,8,4500,3.38,28.2,Medium,High,High,Low,Low,36.5,7670
Tru,Automatic,Y,N,Automatic,3,265,6,5500,3.64,30,Low,High,Low,High,High,22.4,7671
Tru,Automatic,Y,N,Automatic,3,265,6,5500,3.64,30,Low,High,Low,High,High,22.4,7672
Tru,Automatic,Y,N,Automatic,3,265,6,5500,3.64,30,Low,High,Low,High,High,22.4,7673
Tru,Automatic,Y,N,Automatic,3,265,6,5500,3.64,30,Medium,Low,Low,Medium,Medium,36.1,7674
Tru,Automatic,Y,N,Automatic,3,265,6,5500,3.64,30,Medium,Low,Low,Medium,Medium,36.1,7675
Tru,Automatic,Y,N,Automatic,3,265,6,5500,3.64,30,Medium,Low,Low,Medium,Medium,36.1,7676
Tru,Automatic,Y,N,Automatic,3,265,6,5500,3.64,30,Low,High,Low,High,High,24.5,7677
Tru,Automatic,Y,N,Automatic,3,265,6,5500,3.64,30,Low,High,Low,High,High,24.5,7678
Tru,Automatic,Y,N,Automatic,3,265,6,5500,3.64,30,Low,High,Low,High,High,24.5,7679
Tru,Automatic,Y,N,Automatic,3,265,6,5500,3.64,30,Medium,Low,Low,Medium,Low,36.7,7680
Tru,Automatic,Y,N,Automatic,3,265,6,5500,3.64,30,Medium,Low,Low,Medium,Low,36.7,7681
Tru,Automatic,Y,N,Automatic,3,265,6,5500,3.64,30,Medium,Low,Low,Medium,Low,36.7,7682
Tru,Semi-Automatic,Y,N,Semi-Automatic,3,300,8,5250,3.15,25.4,Low,High,High,Medium,Medium,32.1,7683
Tru,Semi-Automatic,Y,N,Semi-Automatic,3,300,8,5250,3.15,25.4,Low,High,High,High,Medium,19.7,7684
Tru,Semi-Automatic,Y,N,Semi-Automatic,3,300,8,5250,3.15,25.4,Low,High,High,Medium,Low,32.1,7685
Tru,Semi-Automatic,Y,N,Semi-Automatic,3,300,8,5250,3.15,25.4,Low,High,High,High,Medium,19.4,7686
Tru,Automatic,Y,N,Automatic,4.4,400,8,5500,3.15,25.4,Low,Low,Low,High,High,17,7687
Tru,Automatic,Y,N,Automatic,4.4,400,8,5500,3.15,25.4,Low,High,Low,Medium,Low,28,7688
Tru,Semi-Automatic,Y,N,Semi-Automatic,4.4,555,6,5500,3.91,32.6,Low,High,High,High,Medium,14.8,7689
Tru,Semi-Automatic,Y,N,Semi-Automatic,4.4,555,6,5500,3.91,32.6,Low,High,High,High,Low,22.9,7690
Tru,Semi-Automatic,Y,N,Semi-Automatic,3,300,8,5000,3.15,25.4,Low,High,High,Medium,Medium,33.5,7691
Tru,Semi-Automatic,Y,N,Semi-Automatic,3,300,8,5000,3.15,25.4,Low,High,Low,High,Medium,21.6,7692
Tru,Semi-Automatic,Y,N,Semi-Automatic,3,300,8,5000,3.15,25.4,Low,High,High,Medium,Medium,33.1,7693
Tru,Automatic,Y,N,Automatic,4.4,400,8,5500,3.15,25.4,Low,High,Low,High,High,17.8,7694
Tru,Automatic,Y,N,Automatic,4.4,400,8,5500,3.15,25.4,Low,High,Low,Medium,Low,28.8,7695
Tru,Semi-Automatic,Y,N,Semi-Automatic,4.4,555,6,5500,3.91,32.6,Low,High,High,High,High,16,7696
Tru,Semi-Automatic,Y,N,Semi-Automatic,4.4,555,6,5500,3.91,32.6,Low,High,High,Medium,Medium,23.7,7697
Car,Semi-Automatic,Y,N,Semi-Automatic,2,241,8,3625,3.07,28.3,Low,Low,High,Medium,High,27.9,7698
Car,Semi-Automatic,Y,N,Semi-Automatic,2,241,8,3625,3.07,28.3,Medium,High,High,Low,Medium,46.2,7699
Car,Semi-Automatic,Y,N,Semi-Automatic,2,241,8,3625,3.07,28.3,Low,High,High,Medium,Medium,29.1,7700
Car,Semi-Automatic,Y,N,Semi-Automatic,2,241,8,3625,3.07,28.3,Low,Low,High,Medium,High,28,7701
Car,Semi-Automatic,Y,N,Semi-Automatic,2,241,8,3625,3.07,28.3,Medium,High,High,Low,Medium,47.6,7702
Car,Manual,N,N,Manual,2,241,6,3625,3.72,34.9,Low,Low,Low,Medium,High,28.1,7703
Car,Manual,N,N,Manual,2,241,6,3625,3.72,34.9,Medium,High,Low,Low,Low,47.7,7704
Car,Manual,N,N,Manual,2,241,6,3625,3.72,34.9,Low,High,High,Medium,Medium,31.1,7705
Car,Manual,N,N,Manual,2,241,6,3625,3.72,34.9,Low,,,,,21.3,7706
Car,Manual,N,N,Manual,3,300,6,3750,3.08,37.2,Low,High,High,Medium,High,23.3,7707
Car,Manual,N,N,Manual,3,300,6,3750,3.08,37.2,Medium,Low,Low,Low,Medium,36.6,7708
Car,Semi-Automatic,N,N,Semi-Automatic,3,335,7,3875,2.56,35.3,Medium,Low,Low,Low,Low,37.6,7709
Car,Semi-Automatic,N,N,Semi-Automatic,3,335,7,3875,2.56,35.3,Low,High,Low,Medium,High,23.7,7710
Car,Semi-Automatic,N,N,Semi-Automatic,3,335,7,3875,2.56,35.3,Low,High,High,High,High,19.5,7711
Car,Semi-Automatic,N,N,Semi-Automatic,3,335,7,3875,2.56,35.3,Low,High,High,Medium,High,29,7712
Car,Automatic,Y,N,Automatic,1.6,122,6,3125,4.1,40.7,Medium,High,Low,Low,Medium,35.7,7713
Car,Automatic,Y,N,Automatic,1.6,122,6,3125,4.1,40.7,Medium,Low,Low,Low,Low,51.9,7714
Car,Automatic,Y,N,Automatic,1.6,122,6,2875,4.1,40.7,Medium,High,Low,Low,Medium,36.4,7715
Car,Automatic,Y,N,Automatic,1.6,122,6,2875,4.1,40.7,Medium,Low,Low,Low,Low,51.3,7716
Car,Automatic,Y,N,Automatic,1.6,122,6,2875,4.1,39.9,Medium,High,Low,Medium,Medium,35.2,7717
Car,Automatic,Y,N,Automatic,1.6,122,6,2875,4.1,39.9,Medium,High,Low,Low,Low,50.4,7718
Car,Manual,N,N,Manual,1.6,122,6,2875,4.35,42.9,Medium,High,Low,Low,Medium,38.6,7719
Car,Manual,N,N,Manual,1.6,122,6,2875,4.35,42.9,Medium,Low,Low,Low,Low,54,7720
Car,Manual,N,N,Manual,1.6,122,6,2875,4.35,42.1,Medium,High,Low,Low,Low,50.9,7721
Car,Manual,N,N,Manual,1.6,122,6,2875,4.35,42.1,Medium,High,Low,Low,Medium,38,7722
Car,Automatic,Y,N,Automatic,1.6,122,6,3125,4.1,39.9,Low,High,Low,Medium,Medium,34.5,7723
Car,Automatic,Y,N,Automatic,1.6,122,6,3125,4.1,39.9,Medium,Low,Low,Low,Low,48.8,7724
Car,Manual,N,N,Manual,1.6,122,6,3000,4.35,42.1,Medium,High,Low,Low,Medium,36.5,7725
Car,Manual,N,N,Manual,1.6,122,6,3000,4.35,42.1,Medium,High,Low,Low,Low,52.7,7726
Car,Manual,N,N,Manual,1.6,122,6,3000,4.35,42.9,Medium,High,Low,Low,Medium,36.2,7727
Car,Manual,N,N,Manual,1.6,122,6,3000,4.35,42.9,Medium,Low,Low,Low,Low,53.3,7728
Car,Automatic,Y,N,Automatic,1.6,122,6,3125,4.1,39.9,Medium,Low,Low,Low,Low,45.7,7729
Car,Automatic,Y,N,Automatic,1.6,122,6,3125,4.1,39.9,Low,High,Low,Medium,Medium,32.6,7730
Car,Automatic,Y,N,Automatic,1.6,122,6,3125,4.1,39.9,Medium,Low,Low,Low,Low,46.7,7731
Car,Automatic,Y,N,Automatic,1.6,122,6,3125,4.1,39.9,Low,High,Low,Medium,Medium,32.1,7732
Car,Automatic,Y,N,Automatic,1.6,122,6,3125,4.1,40.7,Medium,High,Low,Medium,Medium,35.4,7733
Car,Automatic,Y,N,Automatic,1.6,122,6,3125,4.1,40.7,Medium,Low,Low,Low,Low,51,7734
Car,Manual,N,N,Manual,1.6,122,6,3000,4.35,42.1,Medium,High,Low,Low,Low,50,7735
Car,Manual,N,N,Manual,1.6,122,6,3000,4.35,42.1,Medium,High,Low,Low,Medium,37.3,7736
Car,Manual,N,N,Manual,1.6,122,6,3000,4.35,42.9,Medium,High,Low,Low,Medium,36.2,7737
Car,Manual,N,N,Manual,1.6,122,6,3000,4.35,42.9,Medium,Low,Low,Low,Low,52.1,7738
Car,Automatic,Y,N,Automatic,1.6,122,6,3375,4.64,42.5,Medium,Low,Low,Low,Low,42,7739
Car,Automatic,Y,N,Automatic,1.6,122,6,3375,4.64,42.5,Low,High,Low,Medium,High,32.1,7740
Car,Manual,N,N,Manual,1.6,122,6,3250,4.72,43.1,Medium,Low,Low,Low,Low,45.7,7741
Car,Manual,N,N,Manual,1.6,122,6,3250,4.72,43.1,Low,High,Low,Medium,Medium,34.4,7742
Car,Manual,N,N,Manual,1.6,205,6,3000,3.65,42.5,Low,High,High,Medium,Medium,32.2,7743
Car,Manual,N,N,Manual,1.6,205,6,3000,3.65,42.5,Medium,Low,Low,Low,Low,46.1,7744
Car,Manual,N,N,Manual,1.6,205,6,3250,3.65,42.5,Low,High,High,Medium,Medium,31.3,7745
Car,Manual,N,N,Manual,1.6,205,6,3250,3.65,42.5,Medium,Low,Low,Low,Low,46.5,7746
Car,Automatic,Y,N,Automatic,1.6,180,6,3000,3.68,35.1,Low,Low,Low,Medium,High,33,7747
Car,Automatic,Y,N,Automatic,1.6,180,6,3000,3.68,35.1,Medium,Low,Low,Low,Low,47.8,7748
Car,Automatic,Y,N,Automatic,1.6,180,6,3000,3.68,35.3,Low,Low,Low,Medium,High,33.2,7749
Car,Automatic,Y,N,Automatic,1.6,180,6,3000,3.68,35.3,Medium,Low,Low,Low,Low,47.4,7750
Car,Manual,N,N,Manual,1.6,180,6,3000,3.71,43.1,Low,Low,Low,Medium,Medium,34.2,7751
Car,Manual,N,N,Manual,1.6,180,6,3000,3.71,43.1,Medium,Low,Low,Low,Low,49.3,7752
Car,Manual,N,N,Manual,1.6,180,6,3000,3.71,42.9,Low,Low,Low,Medium,High,34.5,7753
Car,Manual,N,N,Manual,1.6,180,6,3000,3.71,42.9,Medium,Low,Low,Low,Low,50.4,7754
Car,Automatic,Y,N,Automatic,1.6,180,6,3125,3.68,35.1,Low,Low,Low,Medium,High,33,7755
Car,Automatic,Y,N,Automatic,1.6,180,6,3125,3.68,35.1,Medium,Low,Low,Low,Low,50.1,7756
Car,Automatic,Y,N,Automatic,1.6,180,6,3125,3.68,35.3,Low,Low,Low,Medium,Medium,32.4,7757
Car,Automatic,Y,N,Automatic,1.6,180,6,3125,3.68,35.3,Medium,Low,Low,Low,Low,46.3,7758
Car,Manual,N,N,Manual,1.6,180,6,3125,3.71,43.1,Low,Low,Low,Medium,High,34.7,7759
Car,Manual,N,N,Manual,1.6,180,6,3125,3.71,43.1,Medium,Low,Low,Low,Low,50.5,7760
Car,Manual,N,N,Manual,1.6,180,6,3125,3.71,42.9,Medium,Low,Low,Low,High,35.5,7761
Car,Manual,N,N,Manual,1.6,180,6,3125,3.71,42.9,Medium,High,Low,Low,Medium,51.6,7762
Car,Automatic,Y,N,Automatic,1.6,180,6,3125,3.68,35.3,Low,Low,Low,Medium,Medium,32.1,7763
Car,Automatic,Y,N,Automatic,1.6,180,6,3125,3.68,35.3,Medium,Low,Low,Low,Low,46,7764
Car,Automatic,Y,N,Automatic,1.6,180,6,3125,3.68,35.1,Low,Low,Low,Medium,High,33.3,7765
Car,Automatic,Y,N,Automatic,1.6,180,6,3125,3.68,35.1,Medium,Low,Low,Low,Low,50.2,7766
Car,Manual,N,N,Manual,1.6,180,6,3125,3.71,42.9,Low,Low,Low,Medium,High,34.5,7767
Car,Manual,N,N,Manual,1.6,180,6,3125,3.71,42.9,Medium,Low,Low,Low,Medium,50.7,7768
Car,Manual,N,N,Manual,1.6,180,6,3125,3.71,43.1,Low,Low,Low,Medium,High,33.2,7769
Car,Manual,N,N,Manual,1.6,180,6,3125,3.71,43.1,Medium,Low,Low,Low,High,48.5,7770
Car,Automatic,Y,N,Automatic,1.6,180,6,3375,3.68,33.1,Medium,Low,Low,Low,Low,45.3,7771
Car,Automatic,Y,N,Automatic,1.6,180,6,3375,3.68,33.1,Low,Low,Low,Medium,High,32.4,7772
Car,Manual,N,N,Manual,1.6,180,6,3375,3.71,40.4,Medium,Low,Low,Low,High,45.5,7773
Car,Manual,N,N,Manual,1.6,180,6,3375,3.71,40.4,Low,Low,High,Medium,Medium,33.9,7774
Car,Automatic,Y,N,Automatic,1.6,180,6,3500,3.68,33.1,Medium,Low,Low,Low,Low,42.8,7775
Car,Automatic,Y,N,Automatic,1.6,180,6,3500,3.68,33.1,Low,Low,Low,Medium,High,30,7776
Car,Manual,N,N,Manual,1.6,180,6,3500,3.71,40.4,Medium,Low,Low,Low,Medium,43.7,7777
Car,Manual,N,N,Manual,1.6,180,6,3500,3.71,40.4,Low,Low,Low,Medium,Medium,32.7,7778
Car,Manual,N,N,Manual,1.6,205,6,3125,3.65,42.5,Low,High,High,Medium,Medium,31.7,7779
Car,Manual,N,N,Manual,1.6,205,6,3125,3.65,42.5,Medium,Low,Low,Low,Low,47.2,7780
Car,Automatic,Y,N,Automatic,7.997,1200,7,4750,2.59,24.9,Low,High,Low,High,High,10,7781
Car,Automatic,Y,N,Automatic,7.997,1200,7,4750,2.59,24.9,Low,High,High,High,High,13.9,7782
Car,Automatic,Y,N,Automatic,7.997,1200,7,4750,2.59,24.9,Low,Low,Low,High,Medium,17.9,7783
Car,Automatic,Y,N,Automatic,7.997,1200,7,4750,2.59,24.9,Low,High,High,High,High,8.9,7784
Car,Automatic,Y,N,Automatic,7.997,1200,7,4750,2.59,24.9,Low,High,Low,High,Medium,9.8,7785
Car,Automatic,Y,N,Automatic,99.999,100,4,5500,1.09,6.4,,,,,,,7786
Car,Automatic,Y,N,Automatic,99.999,100,4,5500,1.09,6.4,,,,,,,7787
Car,Automatic,Y,N,Automatic,99.999,100,4,5500,1.09,6.4,,,,,,,7788
Car,Automatic,Y,N,Automatic,99.999,100,4,5500,1.09,6.4,,,,,,,7789
Bot,Automatic,Y,N,Automatic,2.4,173,6,3750,2.24,29,Low,High,High,Medium,Medium,24.8,7790
Bot,Automatic,Y,N,Automatic,2.4,173,6,3750,2.24,29,Medium,Low,Low,Low,Medium,43.5,7791
Bot,Automatic,Y,N,Automatic,2.4,173,6,4250,2.24,29,Low,,,,,22.8,7792
